X,Y,publicaddress,caseNumber,precinct,reportedDate,timestamp,reportedTime,beginDate,timestamp,reportedDateTime,beginTime,offense,description,UCRCode,enteredDate,centergbsid,centerLong,centerLat,centerX,centerY,neighborhood,lastchanged,LastUpdateDateETL,OBJECTID
-93.25313946,44.94836327,0015XX LAKE ST E,MP2020159317        ,3,6/13/20,00:00:00+00,1803,6/13/20,00:00:00+00,2020/06/13 23:03:00+00,1800,AUTOTH  ,AUTOMOBILE THEFT              ,8,2020/06/14 00:00:00+00,20184,-93.25314102,44.94836708,-10380892,5613396,Powderhorn Park,2020/06/14 00:00:00+00,2020/06/15 07:00:16+00,39468
-93.2197401,44.94835691,0036XX LAKE ST E,MP2020703154        ,3,6/12/20,00:00:00+00,1440,6/8/20,00:00:00+00,2020/06/12 19:40:00+00,1330,THEFT   ,OTHER THEFT                   ,7,2020/06/13 00:00:00+00,14411,-93.21974405,44.94835848,-10377174,5613395,Longfellow,2020/06/13 00:00:00+00,2020/06/14 07:00:13+00,37209
-93.27221968,44.94835056,0003XX LAKE ST E,MP2020158252        ,3,6/12/20,00:00:00+00,1147,5/29/20,00:00:00+00,2020/06/12 16:47:00+00,2121,BURGB   ,BURGLARY OF BUSINESS          ,6,2020/06/12 00:00:00+00,19102,-93.27222526,44.94835398,-10383016,5613394,Phillips West,2020/06/12 00:00:00+00,2020/06/13 07:01:39+00,15010
-93.26203279,44.94835691,0008XX LAKE ST E,MP2020158072        ,3,6/12/20,00:00:00+00,450,6/12/20,00:00:00+00,2020/06/12 09:50:00+00,400,BURGB   ,BURGLARY OF BUSINESS          ,6,2020/06/12 00:00:00+00,19111,-93.26204108,44.94835805,-10381882,5613395,Midtown Phillips,2020/06/12 00:00:00+00,2020/06/13 07:01:39+00,14995
-93.27094407,44.94835056,0003XX LAKE ST E,MP2020156969        ,3,6/11/20,00:00:00+00,1807,6/3/20,00:00:00+00,2020/06/11 23:07:00+00,200,BURGB   ,BURGLARY OF BUSINESS          ,6,2020/06/11 00:00:00+00,21861,-93.27094948,44.94835251,-10382874,5613394,Central,2020/06/12 00:00:00+00,2020/06/13 07:01:39+00,4298
-93.25186386,44.94836327,0015XX LAKE ST E,MP2020157337        ,3,6/11/20,00:00:00+00,1057,5/30/20,00:00:00+00,2020/06/11 15:57:00+00,1200,BURGB   ,BURGLARY OF BUSINESS          ,6,2020/06/11 00:00:00+00,21922,-93.25186442,44.94836706,-10380750,5613396,East Phillips,2020/06/11 00:00:00+00,2020/06/12 07:00:19+00,4321
-93.24726448,44.96346735,0009XX CEDAR AVE S,MP2020157032        ,3,6/10/20,00:00:00+00,2334,6/10/20,00:00:00+00,2020/06/11 04:34:00+00,2220,ASLT2   ,ASSLT W/DNGRS WEAPON          ,5,2020/06/11 00:00:00+00,18794,-93.24726717,44.96347096,-10380238,5615772,Seward,2020/06/11 00:00:00+00,2020/06/11 07:00:19+00,40596
-93.24861195,44.95643707,0025XX 18TH AVE S,MP2020156925        ,3,43992,00:00:00+00,2258,43992,00:00:00+00,2020/06/11 03:58:00+00,1955,ASLT2   ,ASSLT W/DNGRS WEAPON          ,5,2020/06/11 00:00:00+00,17533,-93.24861422,44.95643863,-10380388,5614666,East Phillips,2020/06/11 00:00:00+00,2020/06/12 07:00:19+00,4295
-93.24730041,44.91708088,0047XX CEDAR AVE S,MP2020156752        ,3,6/10/20,00:00:00+00,1715,4/29/20,00:00:00+00,2020/06/10 22:15:00+00,130,BURGB   ,BURGLARY OF BUSINESS          ,6,2020/06/10 00:00:00+00,13251,-93.24730493,44.91708716,-10380242,5608477,Ericsson,2020/06/10 00:00:00+00,2020/06/11 07:00:19+00,40590
-93.24730041,44.91708088,0047XX CEDAR AVE S,MP2020143704        ,3,6/10/20,00:00:00+00,1617,5/28/20,00:00:00+00,2020/06/10 21:17:00+00,230,BURGB   ,BURGLARY OF BUSINESS          ,6,2020/06/11 00:00:00+00,13251,-93.24730493,44.91708716,-10380242,5608477,Ericsson,2020/06/11 00:00:00+00,2020/06/12 07:00:19+00,4280
-93.24804602,44.94836963,0018XX LAKE ST E,MP2020156662        ,3,6/10/20,00:00:00+00,1310,5/28/20,00:00:00+00,2020/06/10 18:10:00+00,1000,AUTOTH  ,AUTOMOBILE THEFT              ,8,2020/06/10 00:00:00+00,21925,-93.24804949,44.94837021,-10380325,5613397,East Phillips,2020/06/10 00:00:00+00,2020/06/11 07:00:19+00,40582
-93.24131763,44.94836963,0021XX LAKE ST E,MP2020156510        ,3,6/10/20,00:00:00+00,827,6/10/20,00:00:00+00,2020/06/10 13:27:00+00,700,THEFT   ,OTHER THEFT                   ,7,2020/06/10 00:00:00+00,21927,-93.2413201,44.94837153,-10379576,5613397,East Phillips,2020/06/10 00:00:00+00,2020/06/11 07:00:19+00,40564
-93.24739923,44.94564844,0031XX CEDAR AVE S,MP2020156018        ,3,6/9/20,00:00:00+00,1524,6/9/20,00:00:00+00,2020/06/09 20:24:00+00,1500,BURGD   ,BURGLARY OF DWELLING          ,6,2020/06/09 00:00:00+00,11630,-93.24740293,44.94565013,-10380253,5612969,Powderhorn Park,2020/06/09 00:00:00+00,2020/06/10 07:00:18+00,37390
-93.24724652,44.97075733,0003XX CEDAR AVE S,MP2020155955        ,1,6/9/20,00:00:00+00,1336,5/29/20,00:00:00+00,2020/06/09 18:36:00+00,200,BURGB   ,BURGLARY OF BUSINESS          ,6,2020/06/09 00:00:00+00,20344,-93.24725145,44.97076328,-10380236,5616919,Cedar Riverside,2020/06/09 00:00:00+00,2020/06/10 07:00:18+00,37386
-93.25694832,44.94835691,0012XX LAKE ST E,MP2020155851        ,3,6/9/20,00:00:00+00,1040,6/9/20,00:00:00+00,2020/06/09 15:40:00+00,1020,AUTOTH  ,AUTOMOBILE THEFT              ,8,2020/06/09 00:00:00+00,20181,-93.2569536,44.94836326,-10381316,5613395,Midtown Phillips,2020/06/09 00:00:00+00,2020/06/10 07:00:18+00,37382
-93.23078938,44.94836963,0028XX LAKE ST E,MP2020155864        ,3,6/9/20,00:00:00+00,1015,5/28/20,00:00:00+00,2020/06/09 15:15:00+00,130,BURGD   ,BURGLARY OF DWELLING          ,6,2020/06/09 00:00:00+00,17469,-93.23079496,44.94837304,-10378404,5613397,Longfellow,2020/06/10 00:00:00+00,2020/06/11 07:00:19+00,40538
-93.23514621,44.94836963,0025XX LAKE ST E,MP2020155748        ,3,6/9/20,00:00:00+00,716,6/8/20,00:00:00+00,2020/06/09 12:16:00+00,1800,BURGB   ,BURGLARY OF BUSINESS          ,6,2020/06/09 00:00:00+00,19097,-93.23514707,44.94837171,-10378889,5613397,Longfellow,2020/06/09 00:00:00+00,2020/06/10 07:00:18+00,37370
-93.25313946,44.94836327,0015XX LAKE ST E,MP2020155187        ,3,6/8/20,00:00:00+00,1339,5/27/20,00:00:00+00,2020/06/08 18:39:00+00,1200,BURGB   ,BURGLARY OF BUSINESS          ,6,2020/06/08 00:00:00+00,20184,-93.25314102,44.94836708,-10380892,5613396,Midtown Phillips,2020/06/08 00:00:00+00,2020/06/09 07:00:16+00,15741
-93.25821495,44.94835691,0011XX LAKE ST E,MP2020155164        ,3,6/8/20,00:00:00+00,1302,5/28/20,00:00:00+00,2020/06/08 18:02:00+00,2200,AUTOTH  ,AUTOMOBILE THEFT              ,8,2020/06/08 00:00:00+00,20180,-93.2582231,44.9483604,-10381457,5613395,Midtown Phillips,2020/06/08 00:00:00+00,2020/06/09 07:00:16+00,15739
-93.26203279,44.94835691,0008XX LAKE ST E,MP2020155095        ,3,6/8/20,00:00:00+00,1217,5/27/20,00:00:00+00,2020/06/08 17:17:00+00,1800,BURGB   ,BURGLARY OF BUSINESS          ,6,2020/06/08 00:00:00+00,19111,-93.26204108,44.94835805,-10381882,5613395,Powderhorn Park,2020/06/08 00:00:00+00,2020/06/09 07:00:16+00,15729
-93.24861195,44.95643707,0025XX 18TH AVE S,MP2020154624        ,3,43989,00:00:00+00,1854,43989,00:00:00+00,2020/06/07 23:54:00+00,1748,ASLT2   ,ASSLT W/DNGRS WEAPON          ,5,2020/06/07 00:00:00+00,17533,-93.24861422,44.95643863,-10380388,5614666,East Phillips,2020/06/08 00:00:00+00,2020/06/09 07:00:16+00,15705
-93.24739923,44.94564844,0031XX CEDAR AVE S,MP2020154149        ,3,6/7/20,00:00:00+00,321,6/7/20,00:00:00+00,2020/06/07 08:21:00+00,1,BURGD   ,BURGLARY OF DWELLING          ,6,2020/06/07 00:00:00+00,11630,-93.24740293,44.94565013,-10380253,5612969,Corcoran,2020/06/07 00:00:00+00,2020/06/08 07:01:00+00,5387
-93.26965948,44.94835056,0004XX LAKE ST E,MP2020153817        ,3,6/6/20,00:00:00+00,1711,6/6/20,00:00:00+00,2020/06/06 22:11:00+00,1634,ASLT2   ,ASSLT W/DNGRS WEAPON          ,5,2020/06/06 00:00:00+00,19130,-93.26966558,44.94835107,-10382731,5613394,Central,2020/06/08 00:00:00+00,2020/06/09 07:00:16+00,5378
-93.27602854,44.94835056,0001XX LAKE ST E,MP2020152993        ,5,6/6/20,00:00:00+00,1640,5/28/20,00:00:00+00,2020/06/06 21:40:00+00,2200,BURGB   ,BURGLARY OF BUSINESS          ,6,2020/06/07 00:00:00+00,19101,-93.2760326,44.94835309,-10383440,5613394,Lyndale,2020/06/07 00:00:00+00,2020/06/08 07:01:00+00,5372
-93.27221968,44.94835056,0003XX LAKE ST E,MP2020149055        ,3,6/6/20,00:00:00+00,1433,5/29/20,00:00:00+00,2020/06/06 19:33:00+00,2300,BURGB   ,BURGLARY OF BUSINESS          ,6,2020/06/06 00:00:00+00,19102,-93.27222526,44.94835398,-10383016,5613394,Central,2020/06/06 00:00:00+00,2020/06/07 07:00:23+00,41444
-93.24740821,44.94746046,0030XX CEDAR AVE S,MP2020145145        ,3,6/5/20,00:00:00+00,1413,5/29/20,00:00:00+00,2020/06/05 19:13:00+00,700,BURGB   ,BURGLARY OF BUSINESS          ,6,2020/06/05 00:00:00+00,11016,-93.24741103,44.94746433,-10380254,5613254,Corcoran,2020/06/05 00:00:00+00,2020/06/06 07:01:56+00,38981
-93.26330839,44.94835056,0007XX LAKE ST E,MP2020152700        ,3,6/5/20,00:00:00+00,928,5/30/20,00:00:00+00,2020/06/05 14:28:00+00,0,BURGB   ,BURGLARY OF BUSINESS          ,6,2020/06/05 00:00:00+00,21862,-93.2633086,44.94835461,-10382024,5613394,Central,2020/06/05 00:00:00+00,2020/06/06 07:01:56+00,38998
-93.27094407,44.94835056,0003XX LAKE ST E,MP2020152193        ,3,6/5/20,00:00:00+00,813,5/30/20,00:00:00+00,2020/06/05 13:13:00+00,205,BURGB   ,BURGLARY OF BUSINESS          ,6,2020/06/05 00:00:00+00,21861,-93.27094948,44.94835251,-10382874,5613394,Phillips West,2020/06/05 00:00:00+00,2020/06/06 07:01:56+00,38988
-93.26203279,44.94835691,0008XX LAKE ST E,MP2020143551        ,3,6/4/20,00:00:00+00,2135,5/28/20,00:00:00+00,2020/06/05 02:35:00+00,1930,BURGB   ,BURGLARY OF BUSINESS          ,6,2020/06/05 00:00:00+00,19111,-93.26204108,44.94835805,-10381882,5613395,Midtown Phillips,2020/06/05 00:00:00+00,2020/06/05 07:02:45+00,19057
-93.23947609,44.94836327,0022XX LAKE ST E,MP2020143575        ,3,6/4/20,00:00:00+00,2030,5/28/20,00:00:00+00,2020/06/05 01:30:00+00,1024,BURGB   ,BURGLARY OF BUSINESS          ,6,2020/06/04 00:00:00+00,19113,-93.23947859,44.94836879,-10379371,5613396,East Phillips,2020/06/05 00:00:00+00,2020/06/06 07:01:56+00,19058
-93.27094407,44.94835056,0003XX LAKE ST E,MP2020143653        ,3,6/4/20,00:00:00+00,1838,5/28/20,00:00:00+00,2020/06/04 23:38:00+00,1200,BURGB   ,BURGLARY OF BUSINESS          ,6,2020/05/21 00:00:00+00,21861,-93.27094948,44.94835251,-10382874,5613394,Phillips West,2020/06/06 00:00:00+00,2020/06/07 07:00:23+00,41439
-93.26457502,44.94835056,0007XX LAKE ST E,MP2020145822        ,3,6/4/20,00:00:00+00,1700,5/27/20,00:00:00+00,2020/06/04 22:00:00+00,1950,BURGB   ,BURGLARY OF BUSINESS          ,6,2020/06/05 00:00:00+00,19105,-93.26458179,44.94835395,-10382165,5613394,Central,2020/06/05 00:00:00+00,2020/06/05 07:02:45+00,19063
-93.24932162,44.94836327,0017XX LAKE ST E,MP2020145041        ,3,6/4/20,00:00:00+00,1520,5/29/20,00:00:00+00,2020/06/04 20:20:00+00,2000,BURGB   ,BURGLARY OF BUSINESS          ,6,2020/06/04 00:00:00+00,21923,-93.24932366,44.94836921,-10380467,5613396,Powderhorn Park,2020/06/04 00:00:00+00,2020/06/05 07:02:45+00,19061
-93.21205951,44.94833784,0042XX LAKE ST E,MP2020152068        ,3,6/4/20,00:00:00+00,1359,5/27/20,00:00:00+00,2020/06/04 18:59:00+00,1130,BURGB   ,BURGLARY OF BUSINESS          ,6,2020/06/04 00:00:00+00,14495,-93.21206053,44.94834202,-10376319,5613392,Cooper,2020/06/04 00:00:00+00,2020/06/05 07:02:45+00,19116
-93.24739025,44.94383636,0032XX CEDAR AVE S,MP2020151262        ,3,6/4/20,00:00:00+00,833,6/3/20,00:00:00+00,2020/06/04 13:33:00+00,500,AUTOTH  ,AUTOMOBILE THEFT              ,8,2020/06/05 00:00:00+00,22414,-93.24739141,44.94383643,-10380252,5612684,Powderhorn Park,2020/06/05 00:00:00+00,2020/06/05 07:02:45+00,19086
